실험 4 시작
움직임 감지됨
중력: 9.81 m/s², 총가속도: 9.68 m/s², 고도: 36.50 m
중력: 9.81 m/s², 총가속도: 9.87 m/s², 고도: 36.39 m
중력: 9.81 m/s², 총가속도: 10.01 m/s², 고도: 36.39 m
중력: 9.81 m/s², 총가속도: 10.16 m/s², 고도: 36.39 m
중력: 9.81 m/s², 총가속도: 9.97 m/s², 고도: 36.39 m
중력: 9.81 m/s², 총가속도: 9.63 m/s², 고도: 36.39 m
중력: 9.81 m/s², 총가속도: 9.81 m/s², 고도: 36.39 m
중력: 9.81 m/s², 총가속도: 9.94 m/s², 고도: 36.39 m
중력: 9.81 m/s², 총가속도: 9.95 m/s², 고도: 36.39 m
중력: 9.81 m/s², 총가속도: 9.68 m/s², 고도: 36.39 m
중력: 9.81 m/s², 총가속도: 9.54 m/s², 고도: 36.64 m
중력: 9.81 m/s², 총가속도: 9.55 m/s², 고도: 36.64 m
중력: 9.81 m/s², 총가속도: 9.62 m/s², 고도: 36.64 m
중력: 9.81 m/s², 총가속도: 9.63 m/s², 고도: 36.64 m
중력: 9.81 m/s², 총가속도: 9.44 m/s², 고도: 36.64 m
중력: 9.81 m/s², 총가속도: 9.38 m/s², 고도: 36.64 m
중력: 9.81 m/s², 총가속도: 9.31 m/s², 고도: 36.64 m
중력: 9.81 m/s², 총가속도: 9.40 m/s², 고도: 36.64 m
중력: 9.81 m/s², 총가속도: 9.75 m/s², 고도: 36.64 m
중력: 9.81 m/s², 총가속도: 9.80 m/s², 고도: 36.50 m
중력: 9.81 m/s², 총가속도: 9.73 m/s², 고도: 36.50 m
중력: 9.81 m/s², 총가속도: 9.92 m/s², 고도: 36.50 m
중력: 9.81 m/s², 총가속도: 10.01 m/s², 고도: 36.50 m
중력: 9.81 m/s², 총가속도: 9.81 m/s², 고도: 36.50 m
중력: 9.81 m/s², 총가속도: 9.73 m/s², 고도: 36.50 m
중력: 9.81 m/s², 총가속도: 9.61 m/s², 고도: 36.50 m
중력: 9.81 m/s², 총가속도: 9.75 m/s², 고도: 36.50 m
중력: 9.81 m/s², 총가속도: 9.86 m/s², 고도: 36.50 m
중력: 9.81 m/s², 총가속도: 10.01 m/s², 고도: 36.39 m
중력: 9.81 m/s², 총가속도: 10.02 m/s², 고도: 36.39 m
중력: 9.81 m/s², 총가속도: 9.98 m/s², 고도: 36.39 m
중력: 9.81 m/s², 총가속도: 9.80 m/s², 고도: 36.39 m
중력: 9.81 m/s², 총가속도: 9.71 m/s², 고도: 36.39 m
중력: 9.81 m/s², 총가속도: 9.84 m/s², 고도: 36.39 m
중력: 9.81 m/s², 총가속도: 9.84 m/s², 고도: 36.39 m
중력: 9.81 m/s², 총가속도: 9.77 m/s², 고도: 36.39 m
중력: 9.81 m/s², 총가속도: 9.77 m/s², 고도: 36.39 m
중력: 9.81 m/s², 총가속도: 9.90 m/s², 고도: 36.31 m
중력: 9.81 m/s², 총가속도: 9.86 m/s², 고도: 36.31 m
중력: 9.81 m/s², 총가속도: 9.78 m/s², 고도: 36.31 m
중력: 9.81 m/s², 총가속도: 9.70 m/s², 고도: 36.31 m
중력: 9.81 m/s², 총가속도: 9.43 m/s², 고도: 36.31 m
중력: 9.81 m/s², 총가속도: 9.62 m/s², 고도: 36.31 m
중력: 9.81 m/s², 총가속도: 9.87 m/s², 고도: 36.31 m
중력: 9.81 m/s², 총가속도: 9.95 m/s², 고도: 36.31 m
중력: 9.81 m/s², 총가속도: 9.60 m/s², 고도: 36.31 m
실험 종료 버튼 클릭됨
최고 고도: 36.64041 m, 최저 고도: 35.771103 m, 마지막 고도: 36.341835 m
